barcode,first_type,second_type,celltype1,celltype2,x,y,prop1,prop2
embryo1_Pos5_cell352_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.255986592,-1.673903894,1,0
embryo1_Pos5_cell352_z5,14,3,Forebrain-Midbrain-Hindbrain,Low-quality,0.244868959,-1.847093338,1,0
embryo1_Pos5_cell353_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.255521079,-1.809591669,1,0
embryo1_Pos5_cell353_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.24703869,-1.737240558,1,0
embryo1_Pos5_cell354_z2,18,0,Surface-ectoderm,Cranial-mesoderm,0.260497426,-2.310548034,1,0
embryo1_Pos5_cell354_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.248943889,-1.623644153,1,0
embryo1_Pos5_cell355_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.262906961,-1.654439407,1,0
embryo1_Pos5_cell356_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.288992793,-1.732634707,1,0
embryo1_Pos5_cell356_z5,14,3,Forebrain-Midbrain-Hindbrain,Low-quality,0.256994959,-1.83084574,1,0
embryo1_Pos5_cell357_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.261857721,-1.706100126,1,0
embryo1_Pos5_cell358_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.269699957,-1.694560463,1,0
embryo1_Pos5_cell359_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.274112461,-1.58902902,1,0
embryo1_Pos5_cell36_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,-0.269340267,-2.008962623,1,0
